game_date,player_name,position,team_abbreviation,matchup,wl,min,pts,reb,ast,stl,blk,tov,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct
2024-04-14,Brice Sensabaugh,F,UTA,UTA @ GSW,L,29,14,3,0,1,0,5,6,15,0.4,2,7,0.286
2024-04-14,Pascal Siakam,F,IND,IND vs. ATL,W,25,28,6,1,1,0,2,13,18,0.722,1,2,0.5
2024-04-14,Myles Turner,C-F,IND,IND vs. ATL,W,22,31,12,0,0,4,1,13,17,0.765,3,4,0.75
2024-04-14,Bogdan Bogdanovic,G,ATL,ATL @ IND,L,27,18,4,1,2,0,0,6,15,0.4,3,8,0.375
2024-04-14,James Johnson,F,IND,IND vs. ATL,W,7,0,0,1,0,0,1,0,1,0.0,0,0,
2024-04-14,Luke Kornet,C-F,BOS,BOS vs. WAS,W,27,11,8,5,0,3,0,4,5,0.8,0,0,
2024-04-14,Jules Bernard,G,WAS,WAS @ BOS,L,24,13,6,3,1,0,2,5,10,0.5,2,4,0.5
2024-04-14,JD Davison,G,BOS,BOS vs. WAS,W,10,1,3,2,1,0,1,0,2,0.0,0,1,0.0
2024-04-14,Eugene Omoruyi,F,WAS,WAS @ BOS,L,23,26,2,5,0,0,0,11,17,0.647,4,6,0.667
2024-04-14,Sam Hauser,F,BOS,BOS vs. WAS,W,35,16,5,2,2,1,0,6,20,0.3,4,11,0.364
2024-04-14,Justin Champagnie,G-F,WAS,WAS @ BOS,L,21,9,7,3,2,1,0,4,9,0.444,0,2,0.0
2024-04-14,Jared Butler,G,WAS,WAS @ BOS,L,31,22,2,7,1,1,4,9,19,0.474,2,4,0.5
2024-04-14,Payton Pritchard,G,BOS,BOS vs. WAS,W,44,38,9,12,0,0,2,15,21,0.714,4,6,0.667
2024-04-14,Deni Avdija,F,WAS,WAS @ BOS,L,31,9,3,2,0,1,1,3,11,0.273,1,5,0.2
2024-04-14,Neemias Queta,C,BOS,BOS vs. WAS,W,20,19,9,1,0,6,3,8,11,0.727,0,0,
2024-04-14,Oshae Brissett,F-G,BOS,BOS vs. WAS,W,16,4,2,1,1,3,3,2,6,0.333,0,1,0.0
2024-04-14,Drew Peterson,F,BOS,BOS vs. WAS,W,8,0,1,0,1,0,1,0,1,0.0,0,1,0.0
2024-04-14,Jordan Walsh,G,BOS,BOS vs. WAS,W,17,1,3,1,2,0,1,0,2,0.0,0,1,0.0
2024-04-14,Patrick Baldwin Jr.,F,WAS,WAS @ BOS,L,33,17,7,0,2,1,1,6,11,0.545,4,7,0.571
2024-04-14,Corey Kispert,F,WAS,WAS @ BOS,L,33,8,3,8,1,0,0,3,9,0.333,0,5,0.0
2024-04-14,Jaden Springer,G,BOS,BOS vs. WAS,W,20,7,2,0,3,1,1,2,4,0.5,1,2,0.5
2024-04-14,Trae Young,G,ATL,ATL @ IND,L,32,12,3,12,0,0,8,4,9,0.444,1,4,0.25
